12.,CIRURGIA DE ESTERILIZAÇÃO MASCULINA (VASECTOMIA) .................................................................... 21
13.0,CIRURGIA REFRATIVA - PRK OU LASIK ................................................................................................. 22
14.0,"CITOMEGALOVÍRUS – QUALITATIVO, POR PCR .................................................................................... 23"
15.0,COLOBOMA - CORREÇÃO CIRÚRGICA ................................................................................................. 23
16.0,COLOCAÇÃO DE BANDA GÁSTRICA POR VIDEOLAPAROSCOPIA OU POR VIA LAPAROTÔMICA................... 23
17.0,CORDOTOMIA-MIELOTOMIAS POR RADIOFREQUÊNCIA ....................................................................... 24
18.0,ABDOMINOPLASTIA ......................................................................................................................... 24
19.0,DÍMERO-D ....................................................................................................................................... 24
20.0,ECODOPPLERCARDIOGRAMA FETAL COM MAPEAMENTO DE FLUXO ..................................................... 25
21.0,EGFR ............................................................................................................................................... 25
22.0,ELETROFORESE DE PROTEÍNAS DE ALTA RESOLUÇÃO ........................................................................... 25
23.0,EMBOLIZAÇÃO DE ARTÉRIA UTERINA ................................................................................................. 25
24.0,ESTIMULAÇÃO ELÉTRICA TRANSCUTÂNEA........................................................................................... 26
25.0,"FATOR V LEIDEN, ANÁLISE DE MUTAÇÃO ............................................................................................ 27"
26.0,GALACTOSE-1-FOSFATO URIDILTRANSFERASE ..................................................................................... 27
27.0,GASTROPLASTIA (CIRURGIA BARIÁTRICA) POR VIDEOLAPAROSCOPIA OU POR VIA LAPAROTÔMICA ......... 28
28.0,HEPATITE B - TESTE QUANTITATIVO ................................................................................................... 29
29.0,HEPATITE C - GENOTIPAGEM ............................................................................................................. 29
30.0,HER-2 .............................................................................................................................................. 30
31.0,"HIV, GENOTIPAGEM.......................................................................................................................... 30"
